# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -20.00000000      0.00000000      0.00000000
    -19.99599960      0.00000000      0.00000000
    -19.99199920      0.00000000      0.00000000
    -19.98799880      0.00000000      0.00000000
    -19.98399840      0.00000000      0.00000000
    -19.97999800      0.00000000      0.00000000
    -19.97599760      0.00000000      0.00000000
    -19.97199720      0.00000000      0.00000000
    -19.96799680      0.00000000      0.00000000
    -19.96399640      0.00000000      0.00000000
    -19.95999600      0.00000000      0.00000000
    -19.95599560      0.00000000      0.00000000
    -19.95199520      0.00000000      0.00000000
    -19.94799480      0.00000000      0.00000000
    -19.94399440      0.00000000      0.00000000
    -19.93999400      0.00000000      0.00000000
    -19.93599360      0.00000000      0.00000000
    -19.93199320      0.00000000      0.00000000
    -19.92799280      0.00000000      0.00000000
    -19.92399240      0.00000000      0.00000000
    -19.91999200      0.00000000      0.00000000
    -19.91599160      0.00000000      0.00000000
    -19.91199120      0.00000000      0.00000000
    -19.90799080      0.00000000      0.00000000
    -19.90399040      0.00000000      0.00000000
    -19.89999000      0.00000000      0.00000000
    -19.89598960      0.00000000      0.00000000
    -19.89198920      0.00000000      0.00000000
    -19.88798880      0.00000000      0.00000000
    -19.88398840      0.00000000      0.00000000
    -19.87998800      0.00000000      0.00000000
    -19.87598760      0.00000000      0.00000000
    -19.87198720      0.00000000      0.00000000
    -19.86798680      0.00000000      0.00000000
    -19.86398640      0.00000000      0.00000000
    -19.85998600      0.00000000      0.00000000
    -19.85598560      0.00000000      0.00000000
    -19.85198520      0.00000000      0.00000000
    -19.84798480      0.00000000      0.00000000
    -19.84398440      0.00000000      0.00000000
    -19.83998400      0.00000000      0.00000000
    -19.83598360      0.00000000      0.00000000
    -19.83198320      0.00000000      0.00000000
    -19.82798280      0.00000000      0.00000000
    -19.82398240      0.00000004      0.00000004
    -19.81998200      0.00000040      0.00000040
    -19.81598160      0.00000331      0.00000331
    -19.81198120      0.00002313      0.00002313
    -19.80798080      0.00013768      0.00013768
    -19.80398040      0.00069835      0.00069836
    -19.79998000      0.00301851      0.00301852
    -19.79597960      0.01111751      0.01111758
    -19.79197920      0.03489172      0.03489189
    -19.78797880      0.09331170      0.09331207
    -19.78397840      0.21264189      0.21264259
    -19.77997800      0.41291492      0.41291599
    -19.77597760      0.68323697      0.68323826
    -19.77197720      0.96334348      0.96334462
    -19.76797680      1.15741738      1.15741792
    -19.76397640      1.18494410      1.18494380
    -19.75997600      1.03372436      1.03372336
    -19.75597560      0.76844124      0.76843995
    -19.75197520      0.48676081      0.48675965
    -19.74797480      0.26273599      0.26273518
    -19.74397440      0.12084330      0.12084284
    -19.73997400      0.04736141      0.04736119
    -19.73597360      0.01581706      0.01581697
    -19.73197320      0.00450117      0.00450115
    -19.72797280      0.00109150      0.00109150
    -19.72397240      0.00022554      0.00022554
    -19.71997200      0.00003971      0.00003971
    -19.71597160      0.00000596      0.00000596
    -19.71197120      0.00000076      0.00000076
    -19.70797080      0.00000008      0.00000008
    -19.70397040      0.00000001      0.00000001
    -19.69997000      0.00000000      0.00000000
    -19.69596960      0.00000000      0.00000000
    -19.69196920      0.00000000      0.00000000
    -19.68796880      0.00000000      0.00000000
    -19.68396840      0.00000000      0.00000000
    -19.67996800      0.00000000      0.00000000
    -19.67596760      0.00000000      0.00000000
    -19.67196720      0.00000000      0.00000000
    -19.66796680      0.00000000      0.00000000
    -19.66396640      0.00000000      0.00000000
    -19.65996600      0.00000000      0.00000000
    -19.65596560      0.00000000      0.00000000
    -19.65196520      0.00000000      0.00000000
    -19.64796480      0.00000000      0.00000000
    -19.64396440      0.00000000      0.00000000
    -19.63996400      0.00000000      0.00000000
    -19.63596360      0.00000000      0.00000000
    -19.63196320      0.00000000      0.00000000
    -19.62796280      0.00000000      0.00000000
    -19.62396240      0.00000000      0.00000000
    -19.61996200      0.00000000      0.00000000
    -19.61596160      0.00000000      0.00000000
    -19.61196120      0.00000000      0.00000000
    -19.60796080      0.00000000      0.00000000
    -19.60396040      0.00000000      0.00000000
    -19.59996000      0.00000000      0.00000000
    -19.59595960      0.00000000      0.00000000
    -19.59195920      0.00000000      0.00000000
    -19.58795880      0.00000000      0.00000000
    -19.58395840      0.00000000      0.00000000
    -19.57995800      0.00000000      0.00000000
    -19.57595760      0.00000000      0.00000000
    -19.57195720      0.00000000      0.00000000
    -19.56795680      0.00000000      0.00000000
    -19.56395640      0.00000000      0.00000000
    -19.55995600      0.00000000      0.00000000
    -19.55595560      0.00000000      0.00000000
    -19.55195520      0.00000000      0.00000000
    -19.54795480      0.00000000      0.00000000
    -19.54395440      0.00000000      0.00000000
    -19.53995400      0.00000000      0.00000000
    -19.53595360      0.00000000      0.00000000
