# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the average chemical potential, mu =       -5.545725 eV
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -14.45427480      0.00000000      0.00000000
    -14.45027440      0.00000000      0.00000000
    -14.44627400      0.00000000      0.00000000
    -14.44227360      0.00000000      0.00000000
    -14.43827320      0.00000000      0.00000000
    -14.43427280      0.00000000      0.00000000
    -14.43027240      0.00000000      0.00000000
    -14.42627200      0.00000000      0.00000000
    -14.42227160      0.00000000      0.00000000
    -14.41827120      0.00000000      0.00000000
    -14.41427080      0.00000000      0.00000000
    -14.41027040      0.00000000      0.00000000
    -14.40627000      0.00000000      0.00000000
    -14.40226960      0.00000000      0.00000000
    -14.39826920      0.00000000      0.00000000
    -14.39426880      0.00000000      0.00000000
    -14.39026840      0.00000000      0.00000000
    -14.38626800      0.00000000      0.00000000
    -14.38226760      0.00000000      0.00000000
    -14.37826720      0.00000000      0.00000000
    -14.37426680      0.00000000      0.00000000
    -14.37026640      0.00000000      0.00000000
    -14.36626600      0.00000000      0.00000000
    -14.36226560      0.00000000      0.00000000
    -14.35826520      0.00000000      0.00000000
    -14.35426480      0.00000000      0.00000000
    -14.35026440      0.00000000      0.00000000
    -14.34626400      0.00000000      0.00000000
    -14.34226360      0.00000000      0.00000000
    -14.33826320      0.00000000      0.00000000
    -14.33426280      0.00000000      0.00000000
    -14.33026240      0.00000000      0.00000000
    -14.32626200      0.00000005      0.00000000
    -14.32226160      0.00000045      0.00000000
    -14.31826120      0.00000359      0.00000000
    -14.31426080      0.00002419      0.00000000
    -14.31026040      0.00013896      0.00000000
    -14.30626000      0.00068028      0.00000000
    -14.30225960      0.00283785      0.00000000
    -14.29825920      0.01008771      0.00000000
    -14.29425880      0.03055588      0.00000000
    -14.29025840      0.07886716      0.00000000
    -14.28625800      0.17345890      0.00000000
    -14.28225760      0.32508431      0.00000000
    -14.27825720      0.51915192      0.00000000
    -14.27425680      0.70646709      0.00000000
    -14.27025640      0.81919716      0.00000000
    -14.26625600      0.80943871      0.00000000
    -14.26225560      0.68151988      0.00000000
    -14.25825520      0.48895863      0.00000000
    -14.25425480      0.29892671      0.00000000
    -14.25025440      0.15572429      0.00000000
    -14.24625400      0.06912689      0.00000004
    -14.24225360      0.02614789      0.00000041
    -14.23825320      0.00842802      0.00000329
    -14.23425280      0.00231480      0.00002231
    -14.23025240      0.00054175      0.00012911
    -14.22625200      0.00010804      0.00063651
    -14.22225160      0.00001836      0.00267404
    -14.21825120      0.00000266      0.00957257
    -14.21425080      0.00000033      0.02920032
    -14.21025040      0.00000003      0.07590070
    -14.20625000      0.00000000      0.16811362
    -14.20224960      0.00000000      0.31729197
    -14.19824920      0.00000000      0.51028673
    -14.19424880      0.00000000      0.69930800
    -14.19024840      0.00000000      0.81662327
    -14.18624800      0.00000000      0.81259478
    -14.18224760      0.00000000      0.68900969
    -14.17824720      0.00000000      0.49782380
    -14.17424680      0.00000000      0.30649614
    -14.17024640      0.00000000      0.16079532
    -14.16624600      0.00000000      0.07188211
    -14.16224560      0.00000000      0.02738213
    -14.15824520      0.00000000      0.00888818
    -14.15424480      0.00000000      0.00245843
    -14.15024440      0.00000000      0.00057943
    -14.14624400      0.00000000      0.00011637
    -14.14224360      0.00000000      0.00001992
    -14.13824320      0.00000000      0.00000290
    -14.13424280      0.00000000      0.00000036
    -14.13024240      0.00000000      0.00000004
    -14.12624200      0.00000000      0.00000000
    -14.12224160      0.00000000      0.00000000
    -14.11824120      0.00000000      0.00000000
    -14.11424080      0.00000000      0.00000000
    -14.11024040      0.00000000      0.00000000
    -14.10624000      0.00000000      0.00000000
    -14.10223960      0.00000000      0.00000000
    -14.09823920      0.00000000      0.00000000
    -14.09423880      0.00000000      0.00000000
    -14.09023840      0.00000000      0.00000000
    -14.08623800      0.00000000      0.00000000
    -14.08223760      0.00000000      0.00000000
    -14.07823720      0.00000000      0.00000000
    -14.07423680      0.00000000      0.00000000
    -14.07023640      0.00000000      0.00000000
    -14.06623600      0.00000000      0.00000000
    -14.06223560      0.00000000      0.00000000
    -14.05823520      0.00000000      0.00000000
    -14.05423480      0.00000000      0.00000000
    -14.05023440      0.00000000      0.00000000
    -14.04623400      0.00000000      0.00000000
    -14.04223360      0.00000000      0.00000000
    -14.03823320      0.00000000      0.00000000
    -14.03423280      0.00000000      0.00000000
