# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -20.00000000      0.04812246      0.12524243
    -19.99599960      0.04648882      0.11867771
    -19.99199920      0.04509838      0.11234342
    -19.98799880      0.04394391      0.10625020
    -19.98399840      0.04301774      0.10040723
    -19.97999800      0.04231185      0.09482229
    -19.97599760      0.04181783      0.08950176
    -19.97199720      0.04152700      0.08445072
    -19.96799680      0.04143040      0.07967298
    -19.96399640      0.04151882      0.07517114
    -19.95999600      0.04178280      0.07094666
    -19.95599560      0.04221272      0.06699994
    -19.95199520      0.04279874      0.06333037
    -19.94799480      0.04353088      0.05993640
    -19.94399440      0.04439901      0.05681561
    -19.93999400      0.04539287      0.05396480
    -19.93599360      0.04650207      0.05138002
    -19.93199320      0.04771614      0.04905668
    -19.92799280      0.04902453      0.04698955
    -19.92399240      0.05041661      0.04517287
    -19.91999200      0.05188172      0.04360038
    -19.91599160      0.05340916      0.04226539
    -19.91199120      0.05498823      0.04116078
    -19.90799080      0.05660823      0.04027910
    -19.90399040      0.05825853      0.03961258
    -19.89999000      0.05992854      0.03915314
    -19.89598960      0.06160777      0.03889246
    -19.89198920      0.06328586      0.03882199
    -19.88798880      0.06495262      0.03893297
    -19.88398840      0.06659801      0.03921646
    -19.87998800      0.06821224      0.03966333
    -19.87598760      0.06978579      0.04026431
    -19.87198720      0.07130943      0.04100998
    -19.86798680      0.07277424      0.04189078
    -19.86398640      0.07417170      0.04289705
    -19.85998600      0.07549370      0.04401901
    -19.85598560      0.07673255      0.04524677
    -19.85198520      0.07788109      0.04657036
    -19.84798480      0.07893262      0.04797973
    -19.84398440      0.07988103      0.04946477
    -19.83998400      0.08072078      0.05101529
    -19.83598360      0.08144693      0.05262112
    -19.83198320      0.08205519      0.05427201
    -19.82798280      0.08254190      0.05595777
    -19.82398240      0.08290409      0.05766818
    -19.81998200      0.08313947      0.05939311
    -19.81598160      0.08324645      0.06112248
    -19.81198120      0.08322413      0.06284634
    -19.80798080      0.08307234      0.06455484
    -19.80398040      0.08279158      0.06623834
    -19.79998000      0.08238305      0.06788736
    -19.79597960      0.08184866      0.06949270
    -19.79197920      0.08119094      0.07104540
    -19.78797880      0.08041310      0.07253683
    -19.78397840      0.07951895      0.07395871
    -19.77997800      0.07851292      0.07530315
    -19.77597760      0.07739998      0.07656270
    -19.77197720      0.07618564      0.07773034
    -19.76797680      0.07487591      0.07879959
    -19.76397640      0.07347726      0.07976447
    -19.75997600      0.07199657      0.08061958
    -19.75597560      0.07044109      0.08136012
    -19.75197520      0.06881845      0.08198190
    -19.74797480      0.06713652      0.08248137
    -19.74397440      0.06540349      0.08285564
    -19.73997400      0.06362770      0.08310252
    -19.73597360      0.06181773      0.08322048
    -19.73197320      0.05998227      0.08320870
    -19.72797280      0.05813013      0.08306704
    -19.72397240      0.05627020      0.08279609
    -19.71997200      0.05441140      0.08239709
    -19.71597160      0.05256269      0.08187199
    -19.71197120      0.05073303      0.08122338
    -19.70797080      0.04893135      0.08045452
    -19.70397040      0.04716657      0.07956928
    -19.69997000      0.04544753      0.07857213
    -19.69596960      0.04378304      0.07746810
    -19.69196920      0.04218184      0.07626277
    -19.68796880      0.04065263      0.07496222
    -19.68396840      0.03920403      0.07357299
    -19.67996800      0.03784462      0.07210205
    -19.67596760      0.03658294      0.07055676
    -19.67196720      0.03542749      0.06894483
    -19.66796680      0.03438675      0.06727428
    -19.66396640      0.03346922      0.06555339
    -19.65996600      0.03268337      0.06379070
    -19.65596560      0.03203771      0.06199491
    -19.65196520      0.03154081      0.06017490
    -19.64796480      0.03120128      0.05833969
    -19.64396440      0.03102778      0.05649836
    -19.63996400      0.03102909      0.05466009
    -19.63596360      0.03121406      0.05283409
    -19.63196320      0.03159163      0.05102959
    -19.62796280      0.03217085      0.04925583
    -19.62396240      0.03296087      0.04752203
    -19.61996200      0.03397092      0.04583741
    -19.61596160      0.03521032      0.04421114
    -19.61196120      0.03668845      0.04265235
