# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the average chemical potential, mu =       -5.545612 eV
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -14.45438823      0.20360511      0.19338904
    -14.45038783      0.20412420      0.19386265
    -14.44638743      0.20465595      0.19433004
    -14.44238703      0.20520169      0.19479114
    -14.43838663      0.20576262      0.19524604
    -14.43438623      0.20633980      0.19569503
    -14.43038583      0.20693414      0.19613859
    -14.42638543      0.20754635      0.19657739
    -14.42238503      0.20817691      0.19701227
    -14.41838462      0.20882609      0.19744422
    -14.41438422      0.20949393      0.19787440
    -14.41038382      0.21018017      0.19830410
    -14.40638342      0.21088431      0.19873473
    -14.40238302      0.21160555      0.19916779
    -14.39838262      0.21234281      0.19960489
    -14.39438222      0.21309470      0.20004768
    -14.39038182      0.21385956      0.20049783
    -14.38638142      0.21463542      0.20095705
    -14.38238102      0.21542003      0.20142703
    -14.37838062      0.21621086      0.20190940
    -14.37438022      0.21700512      0.20240575
    -14.37037982      0.21779976      0.20291756
    -14.36637942      0.21859151      0.20344620
    -14.36237902      0.21937686      0.20399289
    -14.35837862      0.22015214      0.20455871
    -14.35437822      0.22091350      0.20514452
    -14.35037782      0.22165696      0.20575098
    -14.34637742      0.22237841      0.20637853
    -14.34237702      0.22307369      0.20702736
    -14.33837662      0.22373859      0.20769737
    -14.33437622      0.22436888      0.20838824
    -14.33037582      0.22496037      0.20909930
    -14.32637542      0.22550890      0.20982964
    -14.32237502      0.22601044      0.21057802
    -14.31837462      0.22646105      0.21134291
    -14.31437422      0.22685699      0.21212249
    -14.31037382      0.22719469      0.21291463
    -14.30637342      0.22747080      0.21371692
    -14.30237302      0.22768224      0.21452668
    -14.29837262      0.22782621      0.21534096
    -14.29437222      0.22790021      0.21615658
    -14.29037182      0.22790208      0.21697010
    -14.28637142      0.22783000      0.21777791
    -14.28237102      0.22768252      0.21857621
    -14.27837062      0.22745857      0.21936104
    -14.27437022      0.22715748      0.22012832
    -14.27036982      0.22677897      0.22087388
    -14.26636942      0.22632315      0.22159348
    -14.26236902      0.22579055      0.22228287
    -14.25836862      0.22518208      0.22293777
    -14.25436822      0.22449905      0.22355398
    -14.25036782      0.22374315      0.22412735
    -14.24636742      0.22291642      0.22465383
    -14.24236702      0.22202124      0.22512954
    -14.23836662      0.22106035      0.22555074
    -14.23436622      0.22003676      0.22591394
    -14.23036582      0.21895376      0.22621584
    -14.22636542      0.21781489      0.22645343
    -14.22236502      0.21662392      0.22662399
    -14.21836462      0.21538479      0.22672511
    -14.21436422      0.21410160      0.22675471
    -14.21036382      0.21277855      0.22671108
    -14.20636342      0.21141995      0.22659285
    -14.20236302      0.21003013      0.22639906
    -14.19836262      0.20861344      0.22612912
    -14.19436222      0.20717423      0.22578283
    -14.19036182      0.20571676      0.22536040
    -14.18636142      0.20424520      0.22486242
    -14.18236102      0.20276363      0.22428987
    -14.17836062      0.20127595      0.22364411
    -14.17436022      0.19978588      0.22292686
    -14.17035982      0.19829696      0.22214019
    -14.16635942      0.19681246      0.22128650
    -14.16235902      0.19533544      0.22036850
    -14.15835862      0.19386868      0.21938919
    -14.15435822      0.19241467      0.21835182
    -14.15035782      0.19097562      0.21725987
    -14.14635742      0.18955343      0.21611702
    -14.14235702      0.18814971      0.21492711
    -14.13835662      0.18676574      0.21369413
    -14.13435622      0.18540252      0.21242215
    -14.13035582      0.18406075      0.21111531
    -14.12635542      0.18274080      0.20977779
    -14.12235502      0.18144281      0.20841376
    -14.11835462      0.18016662      0.20702735
    -14.11435422      0.17891183      0.20562263
    -14.11035382      0.17767779      0.20420355
    -14.10635342      0.17646367      0.20277394
    -14.10235302      0.17526842      0.20133747
    -14.09835262      0.17409083      0.19989764
    -14.09435222      0.17292956      0.19845771
    -14.09035182      0.17178315      0.19702073
    -14.08635142      0.17065005      0.19558950
    -14.08235102      0.16952865      0.19416657
    -14.07835062      0.16841729      0.19275420
    -14.07435022      0.16731435      0.19135437
    -14.07034982      0.16621817      0.18996877
    -14.06634942      0.16512720      0.18859880
    -14.06234902      0.16403990      0.18724557
    -14.05834862      0.16295487      0.18590991
    -14.05434822      0.16187081      0.18459236
    -14.05034782      0.16078654      0.18329320
    -14.04634742      0.15970107      0.18201243
    -14.04234702      0.15861355      0.18074983
    -14.03834662      0.15752332      0.17950494
    -14.03434622      0.15642993      0.17827710
    -14.03034582      0.15533309      0.17706547
    -14.02634542      0.15423277      0.17586904
    -14.02234502      0.15312910      0.17468665
    -14.01834462      0.15202247      0.17351705
    -14.01434422      0.15091342      0.17235889
    -14.01034382      0.14980275      0.17121075
    -14.00634342      0.14869140      0.17007120
    -14.00234302      0.14758052      0.16893878
    -13.99834262      0.14647143      0.16781205
    -13.99434222      0.14536560      0.16668963
    -13.99034182      0.14426462      0.16557018
    -13.98634142      0.14317022      0.16445247
    -13.98234102      0.14208422      0.16333536
    -13.97834062      0.14100850      0.16221785
    -13.97434022      0.13994500      0.16109910
    -13.97033982      0.13889568      0.15997839
    -13.96633942      0.13786251      0.15885522
    -13.96233902      0.13684742      0.15772924
    -13.95833862      0.13585229      0.15660031
    -13.95433822      0.13487894      0.15546848
    -13.95033782      0.13392907      0.15433399
