# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -20.00000000      0.19637792      0.19562067
    -19.99599960      0.19668470      0.19542068
    -19.99199920      0.19705007      0.19521120
    -19.98799880      0.19747566      0.19499656
    -19.98399840      0.19796270      0.19478119
    -19.97999800      0.19851202      0.19456959
    -19.97599760      0.19912404      0.19436630
    -19.97199720      0.19979874      0.19417587
    -19.96799680      0.20053565      0.19400283
    -19.96399640      0.20133385      0.19385168
    -19.95999600      0.20219199      0.19372682
    -19.95599560      0.20310826      0.19363257
    -19.95199520      0.20408038      0.19357308
    -19.94799480      0.20510565      0.19355236
    -19.94399440      0.20618093      0.19357422
    -19.93999400      0.20730263      0.19364224
    -19.93599360      0.20846679      0.19375975
    -19.93199320      0.20966902      0.19392981
    -19.92799280      0.21090456      0.19415517
    -19.92399240      0.21216832      0.19443826
    -19.91999200      0.21345485      0.19478117
    -19.91599160      0.21475843      0.19518561
    -19.91199120      0.21607305      0.19565290
    -19.90799080      0.21739247      0.19618399
    -19.90399040      0.21871024      0.19677938
    -19.89999000      0.22001977      0.19743916
    -19.89598960      0.22131431      0.19816297
    -19.89198920      0.22258703      0.19895004
    -19.88798880      0.22383107      0.19979910
    -19.88398840      0.22503954      0.20070848
    -19.87998800      0.22620561      0.20167603
    -19.87598760      0.22732250      0.20269917
    -19.87198720      0.22838357      0.20377489
    -19.86798680      0.22938234      0.20489974
    -19.86398640      0.23031252      0.20606986
    -19.85998600      0.23116809      0.20728100
    -19.85598560      0.23194329      0.20852852
    -19.85198520      0.23263269      0.20980743
    -19.84798480      0.23323120      0.21111240
    -19.84398440      0.23373415      0.21243780
    -19.83998400      0.23413725      0.21377771
    -19.83598360      0.23443670      0.21512598
    -19.83198320      0.23462914      0.21647624
    -19.82798280      0.23471171      0.21782193
    -19.82398240      0.23468208      0.21915636
    -19.81998200      0.23453844      0.22047275
    -19.81598160      0.23427951      0.22176422
    -19.81198120      0.23390458      0.22302391
    -19.80798080      0.23341347      0.22424495
    -19.80398040      0.23280658      0.22542056
    -19.79998000      0.23208484      0.22654402
    -19.79597960      0.23124974      0.22760879
    -19.79197920      0.23030330      0.22860851
    -19.78797880      0.22924806      0.22953703
    -19.78397840      0.22808706      0.23038848
    -19.77997800      0.22682384      0.23115729
    -19.77597760      0.22546239      0.23183822
    -19.77197720      0.22400714      0.23242641
    -19.76797680      0.22246292      0.23291739
    -19.76397640      0.22083496      0.23330715
    -19.75997600      0.21912880      0.23359211
    -19.75597560      0.21735034      0.23376919
    -19.75197520      0.21550570      0.23383580
    -19.74797480      0.21360129      0.23378988
    -19.74397440      0.21164367      0.23362989
    -19.73997400      0.20963961      0.23335484
    -19.73597360      0.20759597      0.23296429
    -19.73197320      0.20551970      0.23245834
    -19.72797280      0.20341780      0.23183766
    -19.72397240      0.20129728      0.23110345
    -19.71997200      0.19916511      0.23025745
    -19.71597160      0.19702821      0.22930192
    -19.71197120      0.19489336      0.22823964
    -19.70797080      0.19276723      0.22707389
