# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the average chemical potential, mu =       -5.545725 eV
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -14.45427532      0.10554255      0.15409222
    -14.45027492      0.10338956      0.15104978
    -14.44627452      0.10130758      0.14802038
    -14.44227412      0.09929742      0.14500909
    -14.43827372      0.09735969      0.14202081
    -14.43427332      0.09549475      0.13906026
    -14.43027292      0.09370271      0.13613200
    -14.42627252      0.09198350      0.13324037
    -14.42227212      0.09033681      0.13038953
    -14.41827172      0.08876212      0.12758338
    -14.41427132      0.08725872      0.12482565
    -14.41027092      0.08582573      0.12211979
    -14.40627052      0.08446207      0.11946906
    -14.40227012      0.08316648      0.11687644
    -14.39826972      0.08193759      0.11434468
    -14.39426932      0.08077383      0.11187629
    -14.39026892      0.07967353      0.10947351
    -14.38626852      0.07863489      0.10713834
    -14.38226812      0.07765601      0.10487253
    -14.37826772      0.07673486      0.10267757
    -14.37426732      0.07586936      0.10055471
    -14.37026692      0.07505735      0.09850494
    -14.36626652      0.07429659      0.09652902
    -14.36226612      0.07358481      0.09462748
    -14.35826572      0.07291972      0.09280058
    -14.35426532      0.07229897      0.09104840
    -14.35026492      0.07172023      0.08937076
    -14.34626452      0.07118118      0.08776730
    -14.34226412      0.07067948      0.08623742
    -14.33826372      0.07021286      0.08478037
    -14.33426332      0.06977905      0.08339516
    -14.33026292      0.06937586      0.08208067
    -14.32626252      0.06900115      0.08083559
    -14.32226212      0.06865285      0.07965845
    -14.31826172      0.06832899      0.07854765
    -14.31426132      0.06802766      0.07750146
    -14.31026092      0.06774708      0.07651801
    -14.30626052      0.06748558      0.07559534
    -14.30226012      0.06724159      0.07473138
    -14.29825972      0.06701369      0.07392398
    -14.29425932      0.06680058      0.07317093
    -14.29025892      0.06660110      0.07246995
    -14.28625852      0.06641425      0.07181870
    -14.28225812      0.06623918      0.07121484
    -14.27825772      0.06607520      0.07065598
    -14.27425732      0.06592177      0.07013973
    -14.27025692      0.06577854      0.06966372
    -14.26625652      0.06564531      0.06922556
    -14.26225612      0.06552205      0.06882292
    -14.25825572      0.06540894      0.06845350
    -14.25425532      0.06530629      0.06811504
    -14.25025492      0.06521461      0.06780536
    -14.24625452      0.06513459      0.06752234
    -14.24225412      0.06506710      0.06726395
    -14.23825372      0.06501315      0.06702824
    -14.23425332      0.06497396      0.06681337
    -14.23025292      0.06495092      0.06661762
    -14.22625252      0.06494555      0.06643937
    -14.22225212      0.06495957      0.06627715
    -14.21825172      0.06499484      0.06612962
    -14.21425132      0.06505337      0.06599556
    -14.21025092      0.06513735      0.06587392
    -14.20625052      0.06524906      0.06576381
    -14.20225012      0.06539095      0.06566447
    -14.19824972      0.06556559      0.06557534
    -14.19424932      0.06577565      0.06549601
    -14.19024892      0.06602394      0.06542623
    -14.18624852      0.06631336      0.06536594
    -14.18224812      0.06664688      0.06531526
    -14.17824772      0.06702758      0.06527448
    -14.17424732      0.06745860      0.06524406
    -14.17024692      0.06794313      0.06522466
    -14.16624652      0.06848442      0.06521709
    -14.16224612      0.06908576      0.06522236
    -14.15824572      0.06975046      0.06524164
    -14.15424532      0.07048183      0.06527629
    -14.15024492      0.07128319      0.06532783
    -14.14624452      0.07215785      0.06539794
    -14.14224412      0.07310910      0.06548846
    -14.13824372      0.07414015      0.06560140
    -14.13424332      0.07525421      0.06573890
    -14.13024292      0.07645437      0.06590327
    -14.12624252      0.07774368      0.06609694
    -14.12224212      0.07912507      0.06632247
    -14.11824172      0.08060137      0.06658254
    -14.11424132      0.08217526      0.06687996
    -14.11024092      0.08384932      0.06721763
    -14.10624052      0.08562595      0.06759854
    -14.10224012      0.08750740      0.06802577
    -14.09823972      0.08949571      0.06850249
    -14.09423932      0.09159276      0.06903189
    -14.09023892      0.09380021      0.06961726
    -14.08623852      0.09611950      0.07026190
    -14.08223812      0.09855183      0.07096915
    -14.07823772      0.10109817      0.07174234
    -14.07423732      0.10375921      0.07258483
    -14.07023692      0.10653541      0.07349996
    -14.06623652      0.10942691      0.07449103
    -14.06223612      0.11243360      0.07556130
    -14.05823572      0.11555504      0.07671401
    -14.05423532      0.11879050      0.07795229
    -14.05023492      0.12213896      0.07927921
    -14.04623452      0.12559903      0.08069773
    -14.04223412      0.12916903      0.08221071
    -14.03823372      0.13284694      0.08382088
    -14.03423332      0.13663041      0.08553083
    -14.03023292      0.14051674      0.08734299
    -14.02623252      0.14450289      0.08925962
    -14.02223212      0.14858549      0.09128281
    -14.01823172      0.15276082      0.09341444
    -14.01423132      0.15702483      0.09565619
    -14.01023092      0.16137311      0.09800949
    -14.00623052      0.16580095      0.10047558
    -14.00223012      0.17030327      0.10305540
    -13.99822972      0.17487469      0.10574967
    -13.99422932      0.17950952      0.10855882
    -13.99022892      0.18420176      0.11148298
    -13.98622852      0.18894509      0.11452203
    -13.98222812      0.19373293      0.11767550
    -13.97822772      0.19855841      0.12094265
    -13.97422732      0.20341440      0.12432239
    -13.97022692      0.20829355      0.12781331
    -13.96622652      0.21318823      0.13141370
    -13.96222612      0.21809063      0.13512147
    -13.95822572      0.22299275      0.13893420
    -13.95422532      0.22788638      0.14284915
    -13.95022492      0.23276319      0.14686321
    -13.94622452      0.23761469      0.15097293
    -13.94222412      0.24243228      0.15517450
    -13.93822372      0.24720728      0.15946380
    -13.93422332      0.25193092      0.16383632
    -13.93022292      0.25659440      0.16828726
    -13.92622252      0.26118890      0.17281145
    -13.92222212      0.26570559      0.17740342
    -13.91822172      0.27013570      0.18205735
    -13.91422132      0.27447048      0.18676713
    -13.91022092      0.27870129      0.19152636
    -13.90622052      0.28281957      0.19632832
    -13.90222012      0.28681691      0.20116605
    -13.89821972      0.29068505      0.20603230
    -13.89421932      0.29441593      0.21091959
    -13.89021892      0.29800168      0.21582021
    -13.88621852      0.30143467      0.22072622
    -13.88221811      0.30470753      0.22562950
    -13.87821771      0.30781315      0.23052176
    -13.87421731      0.31074477      0.23539454
    -13.87021691      0.31349590      0.24023927
    -13.86621651      0.31606044      0.24504725
    -13.86221611      0.31843263      0.24980970
    -13.85821571      0.32060711      0.25451777
    -13.85421531      0.32257891      0.25916260
    -13.85021491      0.32434350      0.26373527
    -13.84621451      0.32589674      0.26822691
    -13.84221411      0.32723500      0.27262868
    -13.83821371      0.32835504      0.27693179
    -13.83421331      0.32925415      0.28112755
    -13.83021291      0.32993005      0.28520739
    -13.82621251      0.33038099      0.28916288
    -13.82221211      0.33060566      0.29298575
    -13.81821171      0.33060330      0.29666794
    -13.81421131      0.33037359      0.30020159
    -13.81021091      0.32991676      0.30357910
    -13.80621051      0.32923349      0.30679313
    -13.80221011      0.32832499      0.30983664
    -13.79820971      0.32719294      0.31270291
    -13.79420931      0.32583949      0.31538554
    -13.79020891      0.32426729      0.31787850
    -13.78620851      0.32247943      0.32017614
