DATETIME,TIME,LON,LAT,HT,SST
"01-OCT-2009",11596,80.625,-9.875,0,27.48  
"02-OCT-2009",11597,80.625,-9.875,0,27.44  
"03-OCT-2009",11598,80.625,-9.875,0,27.72  
"04-OCT-2009",11599,80.625,-9.875,0,27.47  
"05-OCT-2009",11600,80.625,-9.875,0,27.27  
"06-OCT-2009",11601,80.625,-9.875,0,27.44  
"07-OCT-2009",11602,80.625,-9.875,0,27.76  
"08-OCT-2009",11603,80.625,-9.875,0,27.89  
"09-OCT-2009",11604,80.625,-9.875,0,28.08  
"10-OCT-2009",11605,80.625,-9.875,0,27.67  
"11-OCT-2009",11606,80.625,-9.875,0,27.84  
"12-OCT-2009",11607,80.625,-9.875,0,28.11  
"13-OCT-2009",11608,80.625,-9.875,0,28.14  
"14-OCT-2009",11609,80.625,-9.875,0,28.08  
"15-OCT-2009",11610,80.625,-9.875,0,27.99  
"16-OCT-2009",11611,80.625,-9.875,0,27.96  
"17-OCT-2009",11612,80.625,-9.875,0,27.74  
"18-OCT-2009",11613,80.625,-9.875,0,28.29  
"19-OCT-2009",11614,80.625,-9.875,0,28.07  
"20-OCT-2009",11615,80.625,-9.875,0,27.88  
"21-OCT-2009",11616,80.625,-9.875,0,27.86  
"22-OCT-2009",11617,80.625,-9.875,0,27.92  
"23-OCT-2009",11618,80.625,-9.875,0,27.87  
"24-OCT-2009",11619,80.625,-9.875,0,28.14  
"25-OCT-2009",11620,80.625,-9.875,0,28.42  
"26-OCT-2009",11621,80.625,-9.875,0,28.4  
"27-OCT-2009",11622,80.625,-9.875,0,28.47  
"28-OCT-2009",11623,80.625,-9.875,0,28.69  
"29-OCT-2009",11624,80.625,-9.875,0,28.7  
"30-OCT-2009",11625,80.625,-9.875,0,28.05  
"31-OCT-2009",11626,80.625,-9.875,0,28.13  
"01-NOV-2009",11627,80.625,-9.875,0,28.18  
"02-NOV-2009",11628,80.625,-9.875,0,28.36  
"03-NOV-2009",11629,80.625,-9.875,0,28.22  
"04-NOV-2009",11630,80.625,-9.875,0,28.22  
"05-NOV-2009",11631,80.625,-9.875,0,28.47  
"06-NOV-2009",11632,80.625,-9.875,0,28.71  
"07-NOV-2009",11633,80.625,-9.875,0,28.6  
"08-NOV-2009",11634,80.625,-9.875,0,28.45  
"09-NOV-2009",11635,80.625,-9.875,0,28.44  
"10-NOV-2009",11636,80.625,-9.875,0,28.56  
"11-NOV-2009",11637,80.625,-9.875,0,28.44  
"12-NOV-2009",11638,80.625,-9.875,0,28.51  
"13-NOV-2009",11639,80.625,-9.875,0,28.41  
"14-NOV-2009",11640,80.625,-9.875,0,28.44  
"15-NOV-2009",11641,80.625,-9.875,0,28.42  
"16-NOV-2009",11642,80.625,-9.875,0,28.85  
"17-NOV-2009",11643,80.625,-9.875,0,29.06  
"18-NOV-2009",11644,80.625,-9.875,0,28.64  
"19-NOV-2009",11645,80.625,-9.875,0,28.51  
"20-NOV-2009",11646,80.625,-9.875,0,28.5  
