DATETIME,TIME,LON,LAT,HT,SST
"01-OCT-2009",11596,52.125,-6.125,0,26.95  
"02-OCT-2009",11597,52.125,-6.125,0,27.19  
"03-OCT-2009",11598,52.125,-6.125,0,27.37  
"04-OCT-2009",11599,52.125,-6.125,0,27.36  
"05-OCT-2009",11600,52.125,-6.125,0,27.34  
"06-OCT-2009",11601,52.125,-6.125,0,27.46  
"07-OCT-2009",11602,52.125,-6.125,0,27.63  
"08-OCT-2009",11603,52.125,-6.125,0,27.5  
"09-OCT-2009",11604,52.125,-6.125,0,27.46  
"10-OCT-2009",11605,52.125,-6.125,0,27.37  
"11-OCT-2009",11606,52.125,-6.125,0,27.39  
"12-OCT-2009",11607,52.125,-6.125,0,27.25  
"13-OCT-2009",11608,52.125,-6.125,0,27.2  
"14-OCT-2009",11609,52.125,-6.125,0,27.31  
"15-OCT-2009",11610,52.125,-6.125,0,27.58  
"16-OCT-2009",11611,52.125,-6.125,0,27.54  
"17-OCT-2009",11612,52.125,-6.125,0,26.9  
"18-OCT-2009",11613,52.125,-6.125,0,26.87  
"19-OCT-2009",11614,52.125,-6.125,0,26.85  
"20-OCT-2009",11615,52.125,-6.125,0,27.45  
"21-OCT-2009",11616,52.125,-6.125,0,27.83  
"22-OCT-2009",11617,52.125,-6.125,0,28.34  
"23-OCT-2009",11618,52.125,-6.125,0,28.61  
"24-OCT-2009",11619,52.125,-6.125,0,28.66  
"25-OCT-2009",11620,52.125,-6.125,0,28.46  
"26-OCT-2009",11621,52.125,-6.125,0,28.52  
"27-OCT-2009",11622,52.125,-6.125,0,28.97  
"28-OCT-2009",11623,52.125,-6.125,0,29.04  
"29-OCT-2009",11624,52.125,-6.125,0,28.55  
"30-OCT-2009",11625,52.125,-6.125,0,28.4  
"31-OCT-2009",11626,52.125,-6.125,0,28.3  
"01-NOV-2009",11627,52.125,-6.125,0,28.37  
"02-NOV-2009",11628,52.125,-6.125,0,28.28  
"03-NOV-2009",11629,52.125,-6.125,0,28.41  
"04-NOV-2009",11630,52.125,-6.125,0,28.14  
"05-NOV-2009",11631,52.125,-6.125,0,27.74  
"06-NOV-2009",11632,52.125,-6.125,0,27.75  
"07-NOV-2009",11633,52.125,-6.125,0,27.94  
"08-NOV-2009",11634,52.125,-6.125,0,27.96  
"09-NOV-2009",11635,52.125,-6.125,0,27.58  
"10-NOV-2009",11636,52.125,-6.125,0,27.83  
"11-NOV-2009",11637,52.125,-6.125,0,27.88  
"12-NOV-2009",11638,52.125,-6.125,0,28.1  
"13-NOV-2009",11639,52.125,-6.125,0,28.4  
"14-NOV-2009",11640,52.125,-6.125,0,28.31  
"15-NOV-2009",11641,52.125,-6.125,0,28.22  
"16-NOV-2009",11642,52.125,-6.125,0,28.27  
"17-NOV-2009",11643,52.125,-6.125,0,28.32  
"18-NOV-2009",11644,52.125,-6.125,0,28.39  
"19-NOV-2009",11645,52.125,-6.125,0,28.6  
"20-NOV-2009",11646,52.125,-6.125,0,28.65  
"21-NOV-2009",11647,52.125,-6.125,0,28.9  
"22-NOV-2009",11648,52.125,-6.125,0,28.9  
"23-NOV-2009",11649,52.125,-6.125,0,28.24  
"24-NOV-2009",11650,52.125,-6.125,0,28.2  
"25-NOV-2009",11651,52.125,-6.125,0,28.56  
"26-NOV-2009",11652,52.125,-6.125,0,28.47  
"27-NOV-2009",11653,52.125,-6.125,0,28.44  
"28-NOV-2009",11654,52.125,-6.125,0,28.3  
"29-NOV-2009",11655,52.125,-6.125,0,28.39  
"30-NOV-2009",11656,52.125,-6.125,0,28.71  
"01-DEC-2009",11657,52.125,-6.125,0,28.81  
"02-DEC-2009",11658,52.125,-6.125,0,28.66  
"03-DEC-2009",11659,52.125,-6.125,0,28.84  
"04-DEC-2009",11660,52.125,-6.125,0,29  
"05-DEC-2009",11661,52.125,-6.125,0,29.4  
"06-DEC-2009",11662,52.125,-6.125,0,29.16  
"07-DEC-2009",11663,52.125,-6.125,0,28.81  
