# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the average chemical potential, mu =       -6.230681 eV
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -13.76931933      0.26589082      0.26589089
    -13.76531893      0.38328669      0.38328676
    -13.76131853      0.47087672      0.47087676
    -13.75731813      0.49329482      0.49329481
    -13.75331773      0.44195066      0.44195061
    -13.74931733      0.34343859      0.34343853
    -13.74531693      0.24699958      0.24699952
    -13.74131653      0.20495065      0.20495063
    -13.73731613      0.26127269      0.26127271
    -13.73331573      0.44621526      0.44621530
    -13.72931533      0.76355124      0.76355127
    -13.72531492      1.16925150      1.16925147
    -13.72131452      1.56295396      1.56295385
    -13.71731412      1.81655948      1.81655931
    -13.71331372      1.83536695      1.83536680
    -13.70931332      1.61178440      1.61178432
    -13.70531292      1.22936291      1.22936293
    -13.70131252      0.81329417      0.81329425
    -13.69731212      0.46581377      0.46581387
    -13.69331172      0.23049800      0.23049807
    -13.68931132      0.09832932      0.09832936
    -13.68531092      0.03608911      0.03608913
    -13.68131052      0.01137499      0.01137499
    -13.67731012      0.00307412      0.00307412
    -13.67330972      0.00071140      0.00071140
    -13.66930932      0.00014082      0.00014082
    -13.66530892      0.00002385      0.00002385
    -13.66130852      0.00000371      0.00000371
    -13.65730812      0.00000262      0.00000262
    -13.65330772      0.00001566      0.00001566
    -13.64930732      0.00009460      0.00009460
    -13.64530692      0.00048817      0.00048817
    -13.64130652      0.00214676      0.00214676
    -13.63730612      0.00804444      0.00804445
    -13.63330572      0.02568662      0.02568664
    -13.62930532      0.06989031      0.06989034
    -13.62530492      0.16204137      0.16204142
    -13.62130452      0.32013550      0.32013558
    -13.61730412      0.53894041      0.53894050
    -13.61330372      0.77311954      0.77311962
    -13.60930332      0.94504292      0.94504297
    -13.60530292      0.98436329      0.98436328
    -13.60130252      0.87369188      0.87369181
    -13.59730212      0.66078538      0.66078528
    -13.59330172      0.42585755      0.42585746
    -13.58930132      0.23388301      0.23388295
    -13.58530092      0.10954262      0.10954258
    -13.58130052      0.04411326      0.04411324
    -13.57730012      0.01663523      0.01663522
    -13.57329972      0.01014593      0.01014592
    -13.56929932      0.01720325      0.01720323
    -13.56529892      0.03816703      0.03816699
    -13.56129852      0.07603384      0.07603377
    -13.55729812      0.12969704      0.12969696
    -13.55329772      0.18859978      0.18859970
    -13.54929732      0.23370512      0.23370507
    -13.54529692      0.24677196      0.24677197
    -13.54129652      0.22203557      0.22203563
    -13.53729612      0.17023480      0.17023488
    -13.53329572      0.11121751      0.11121759
    -13.52929532      0.06191516      0.06191522
    -13.52529492      0.02937108      0.02937111
    -13.52129452      0.01187249      0.01187251
    -13.51729412      0.00408944      0.00408944
    -13.51329372      0.00120036      0.00120036
    -13.50929332      0.00030093      0.00030093
    -13.50529292      0.00006970      0.00006970
    -13.50129252      0.00004928      0.00004928
    -13.49729212      0.00021308      0.00021308
    -13.49329172      0.00101041      0.00101041
    -13.48929132      0.00411551      0.00411551
    -13.48529092      0.01428708      0.01428708
    -13.48129052      0.04226349      0.04226348
    -13.47729012      0.10653355      0.10653353
    -13.47328972      0.22882678      0.22882675
    -13.46928932      0.41882063      0.41882059
    -13.46528892      0.65321437      0.65321432
    -13.46128852      0.86818794      0.86818790
    -13.45728812      0.98356451      0.98356450
    -13.45328772      0.95070726      0.95070728
    -13.44928732      0.78726224      0.78726227
    -13.44528692      0.56792305      0.56792307
    -13.44128652      0.38011987      0.38011986
    -13.43728612      0.28137115      0.28137109
    -13.43328572      0.28270289      0.28270278
    -13.42928532      0.35461648      0.35461635
    -13.42528492      0.44347344      0.44347335
    -13.42128452      0.49402677      0.49402675
    -13.41728412      0.47415553      0.47415559
    -13.41328372      0.38881166      0.38881178
    -13.40928332      0.27185054      0.27185068
    -13.40528292      0.16198883      0.16198894
    -13.40128252      0.08225350      0.08225357
    -13.39728212      0.03558987      0.03558991
    -13.39328172      0.01312195      0.01312196
    -13.38928132      0.00412258      0.00412259
    -13.38528092      0.00110367      0.00110367
    -13.38128052      0.00025177      0.00025177
    -13.37728012      0.00004894      0.00004894
    -13.37327972      0.00000811      0.00000811
    -13.36927932      0.00000114      0.00000114
    -13.36527892      0.00000014      0.00000014
    -13.36127852      0.00000001      0.00000001
    -13.35727812      0.00000000      0.00000000
    -13.35327772      0.00000000      0.00000000
    -13.34927732      0.00000000      0.00000000
    -13.34527692      0.00000000      0.00000000
    -13.34127652      0.00000000      0.00000000
    -13.33727612      0.00000000      0.00000000
    -13.33327572      0.00000000      0.00000000
    -13.32927532      0.00000000      0.00000000
    -13.32527492      0.00000000      0.00000000
    -13.32127452      0.00000000      0.00000000
    -13.31727412      0.00000000      0.00000000
    -13.31327372      0.00000000      0.00000000
    -13.30927332      0.00000000      0.00000000
    -13.30527292      0.00000000      0.00000000
    -13.30127252      0.00000000      0.00000000
    -13.29727212      0.00000000      0.00000000
    -13.29327172      0.00000000      0.00000000
    -13.28927132      0.00000000      0.00000000
    -13.28527092      0.00000000      0.00000000
    -13.28127052      0.00000000      0.00000000
    -13.27727012      0.00000000      0.00000000
    -13.27326972      0.00000000      0.00000000
    -13.26926932      0.00000000      0.00000000
    -13.26526892      0.00000000      0.00000000
    -13.26126852      0.00000000      0.00000000
    -13.25726812      0.00000000      0.00000000
    -13.25326772      0.00000000      0.00000000
    -13.24926732      0.00000000      0.00000000
    -13.24526692      0.00000000      0.00000000
    -13.24126652      0.00000000      0.00000000
    -13.23726612      0.00000000      0.00000000
    -13.23326572      0.00000000      0.00000000
    -13.22926532      0.00000000      0.00000000
    -13.22526492      0.00000000      0.00000000
    -13.22126452      0.00000000      0.00000000
    -13.21726412      0.00000000      0.00000000
    -13.21326372      0.00000000      0.00000000
    -13.20926332      0.00000000      0.00000000
    -13.20526292      0.00000000      0.00000000
    -13.20126252      0.00000000      0.00000000
    -13.19726212      0.00000000      0.00000000
    -13.19326172      0.00000000      0.00000000
    -13.18926132      0.00000000      0.00000000
    -13.18526092      0.00000000      0.00000000
    -13.18126052      0.00000000      0.00000000
    -13.17726012      0.00000000      0.00000000
    -13.17325972      0.00000000      0.00000000
    -13.16925932      0.00000000      0.00000000
    -13.16525892      0.00000000      0.00000000
    -13.16125852      0.00000000      0.00000000
    -13.15725812      0.00000000      0.00000000
    -13.15325772      0.00000000      0.00000000
    -13.14925732      0.00000000      0.00000000
    -13.14525692      0.00000000      0.00000000
    -13.14125652      0.00000000      0.00000000
    -13.13725612      0.00000000      0.00000000
    -13.13325572      0.00000000      0.00000000
    -13.12925532      0.00000000      0.00000000
    -13.12525492      0.00000000      0.00000000
    -13.12125452      0.00000000      0.00000000
    -13.11725412      0.00000000      0.00000000
    -13.11325372      0.00000000      0.00000000
    -13.10925332      0.00000000      0.00000000
    -13.10525292      0.00000000      0.00000000
