# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the average chemical potential, mu =       -5.545725 eV
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -14.45427531      0.00023479      0.01238581
    -14.45027491      0.00027252      0.00985069
    -14.44627451      0.00033345      0.00778453
    -14.44227411      0.00042086      0.00611258
    -14.43827371      0.00053948      0.00476925
    -14.43427331      0.00069558      0.00369761
    -14.43027291      0.00089707      0.00284878
    -14.42627251      0.00115365      0.00218127
    -14.42227211      0.00147694      0.00166018
    -14.41827171      0.00188066      0.00125649
    -14.41427131      0.00238071      0.00094630
    -14.41027091      0.00299533      0.00071014
    -14.40627051      0.00374513      0.00053237
    -14.40227011      0.00465311      0.00040054
    -14.39826971      0.00574456      0.00030497
    -14.39426931      0.00704693      0.00023829
    -14.39026891      0.00858950      0.00019508
    -14.38626851      0.01040299      0.00017160
    -14.38226811      0.01251902      0.00016557
    -14.37826771      0.01496934      0.00017604
    -14.37426731      0.01778507      0.00020324
    -14.37026691      0.02099562      0.00024861
    -14.36626651      0.02462759      0.00031473
    -14.36226611      0.02870351      0.00040543
    -14.35826571      0.03324054      0.00052582
    -14.35426531      0.03824910      0.00068244
    -14.35026491      0.04373149      0.00088340
    -14.34626451      0.04968066      0.00113848
    -14.34226411      0.05607901      0.00145938
    -14.33826371      0.06289749      0.00185981
    -14.33426331      0.07009487      0.00235564
    -14.33026291      0.07761740      0.00296507
    -14.32626251      0.08539883      0.00370864
    -14.32226211      0.09336084      0.00460927
    -14.31826171      0.10141390      0.00569217
    -14.31426131      0.10945868      0.00698471
    -14.31026091      0.11738778      0.00851611
    -14.30626051      0.12508796      0.01031706
    -14.30226011      0.13244273      0.01241912
    -14.29825971      0.13933515      0.01485409
    -14.29425931      0.14565091      0.01765312
    -14.29025891      0.15128145      0.02084572
    -14.28625851      0.15612703      0.02445864
    -14.28225811      0.16009969      0.02851463
    -14.27825771      0.16312587      0.03303111
    -14.27425731      0.16514870      0.03801882
    -14.27025691      0.16612976      0.04348044
    -14.26625651      0.16605030      0.04940937
    -14.26225611      0.16491185      0.05578849
    -14.25825571      0.16273614      0.06258926
    -14.25425531      0.15956444      0.06977101
    -14.25025491      0.15545625      0.07728055
    -14.24625451      0.15048743      0.08505215
    -14.24225411      0.14474788      0.09300802
    -14.23825371      0.13833885      0.10105910
    -14.23425331      0.13136996      0.10910645
    -14.23025291      0.12395610      0.11704298
    -14.22625251      0.11621435      0.12475567
    -14.22225211      0.10826087      0.13212810
    -14.21825171      0.10020820      0.13904328
    -14.21425131      0.09216265      0.14538675
    -14.21025091      0.08422221      0.15104960
    -14.20625051      0.07647478      0.15593165
    -14.20225011      0.06899694      0.15994437
    -14.19824971      0.06185309      0.16301351
    -14.19424931      0.05509509      0.16508142
    -14.19024891      0.04876232      0.16610884
    -14.18624851      0.04288207      0.16607615
    -14.18224811      0.03747030      0.16498396
    -14.17824771      0.03253258      0.16285315
    -14.17424731      0.02806531      0.15972414
    -14.17024691      0.02405698      0.15565565
    -14.16624651      0.02048954      0.15072289
    -14.16224611      0.01733977      0.14501518
    -14.15824571      0.01458057      0.13863335
    -14.15424531      0.01218220      0.13168669
    -14.15024491      0.01011339      0.12428996
    -14.14624451      0.00834234      0.11656016
    -14.14224411      0.00683753      0.10861360
    -14.13824371      0.00556840      0.10056300
    -14.13424331      0.00450591      0.09251502
    -14.13024291      0.00362289      0.08456802
    -14.12624251      0.00289434      0.07681041
    -14.12224211      0.00229756      0.06931926
    -14.11824171      0.00181222      0.06215954
    -14.11424131      0.00142033      0.05538365
    -14.11024091      0.00110615      0.04903151
    -14.10624051      0.00085607      0.04313095
    -14.10224011      0.00065846      0.03769838
    -14.09823971      0.00050347      0.03273982
    -14.09423931      0.00038285      0.02825204
    -14.09023891      0.00028980      0.02422386
    -14.08623851      0.00021873      0.02063749
    -14.08223811      0.00016517      0.01746990
    -14.07823771      0.00012556      0.01469413
    -14.07423731      0.00009718      0.01228053
    -14.07023691      0.00007801      0.01019790
    -14.06623651      0.00006669      0.00841442
    -14.06223611      0.00006242      0.00689855
    -14.05823571      0.00006500      0.00561968
    -14.05423531      0.00007478      0.00454868
    -14.05023491      0.00009273      0.00365831
    -14.04623451      0.00012048      0.00292347
    -14.04223411      0.00016046      0.00232134
    -14.03823371      0.00021603      0.00183151
    -14.03423331      0.00029165      0.00143587
    -14.03023291      0.00039315      0.00111859
    -14.02623251      0.00052798      0.00086598
    -14.02223211      0.00070557      0.00066633
    -14.01823171      0.00093774      0.00050971
    -14.01423131      0.00123914      0.00038783
    -14.01023091      0.00162776      0.00029384
    -14.00623051      0.00212554      0.00022211
    -14.00223011      0.00275898      0.00016815
    -13.99822971      0.00355981      0.00012842
    -13.99422931      0.00456571      0.00010019
    -13.99022891      0.00582101      0.00008151
    -13.98622851      0.00737744      0.00007106
    -13.98222811      0.00929476      0.00006817
    -13.97822771      0.01164141      0.00007277
    -13.97422731      0.01449495      0.00008541
    -13.97022691      0.01794243      0.00010735
    -13.96622651      0.02208051      0.00014059
    -13.96222611      0.02701531      0.00018804
    -13.95822571      0.03286199      0.00025368
    -13.95422531      0.03974396      0.00034278
