# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the average chemical potential, mu =       -5.545725 eV
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -14.45427537      0.20276923      0.19210446
    -14.45027497      0.20348611      0.19243782
    -14.44627457      0.20422517      0.19278053
    -14.44227417      0.20498535      0.19313414
    -14.43827377      0.20576538      0.19350019
    -14.43427337      0.20656376      0.19388021
    -14.43027297      0.20737880      0.19427571
    -14.42627257      0.20820856      0.19468813
    -14.42227217      0.20905095      0.19511882
    -14.41827177      0.20990366      0.19556905
    -14.41427137      0.21076423      0.19603997
    -14.41027097      0.21163005      0.19653261
    -14.40627057      0.21249835      0.19704784
    -14.40227017      0.21336627      0.19758638
    -14.39826977      0.21423083      0.19814876
    -14.39426937      0.21508898      0.19873534
    -14.39026897      0.21593761      0.19934626
    -14.38626857      0.21677359      0.19998148
    -14.38226817      0.21759374      0.20064073
    -14.37826777      0.21839492      0.20132354
    -14.37426737      0.21917400      0.20202921
    -14.37026697      0.21992792      0.20275682
    -14.36626657      0.22065366      0.20350525
    -14.36226617      0.22134832      0.20427316
    -14.35826577      0.22200908      0.20505899
    -14.35426537      0.22263327      0.20586100
    -14.35026497      0.22321834      0.20667727
    -14.34626457      0.22376190      0.20750568
    -14.34226417      0.22426175      0.20834397
    -14.33826377      0.22471584      0.20918971
    -14.33426337      0.22512233      0.21004036
    -14.33026297      0.22547955      0.21089325
    -14.32626257      0.22578605      0.21174562
    -14.32226217      0.22604060      0.21259463
    -14.31826177      0.22624214      0.21343739
    -14.31426137      0.22638984      0.21427095
    -14.31026097      0.22648308      0.21509236
    -14.30626057      0.22652142      0.21589866
    -14.30226017      0.22650463      0.21668691
    -14.29825977      0.22643267      0.21745422
    -14.29425937      0.22630566      0.21819775
    -14.29025897      0.22612393      0.21891473
    -14.28625857      0.22588793      0.21960249
    -14.28225817      0.22559827      0.22025846
    -14.27825777      0.22525571      0.22088019
    -14.27425737      0.22486112      0.22146537
    -14.27025697      0.22441548      0.22201183
    -14.26625657      0.22391987      0.22251756
    -14.26225617      0.22337545      0.22298071
    -14.25825577      0.22278344      0.22339959
    -14.25425537      0.22214512      0.22377270
    -14.25025497      0.22146182      0.22409871
    -14.24625457      0.22073489      0.22437646
    -14.24225417      0.21996570      0.22460499
    -14.23825377      0.21915563      0.22478349
    -14.23425337      0.21830605      0.22491134
    -14.23025297      0.21741834      0.22498809
    -14.22625257      0.21649383      0.22501345
    -14.22225217      0.21553387      0.22498728
    -14.21825177      0.21453974      0.22490959
    -14.21425137      0.21351271      0.22478054
    -14.21025097      0.21245403      0.22460039
    -14.20625057      0.21136489      0.22436956
    -14.20225017      0.21024646      0.22408854
