# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -20.00000000      0.20377572      0.19147737
    -19.99599960      0.20451683      0.19189519
    -19.99199920      0.20526613      0.19233068
    -19.98799880      0.20602232      0.19278420
    -19.98399840      0.20678405      0.19325597
    -19.97999800      0.20754994      0.19374614
    -19.97599760      0.20831862      0.19425471
    -19.97199720      0.20908868      0.19478160
    -19.96799680      0.20985873      0.19532660
    -19.96399640      0.21062736      0.19588939
    -19.95999600      0.21139316      0.19646955
    -19.95599560      0.21215473      0.19706657
    -19.95199520      0.21291068      0.19767984
    -19.94799480      0.21365963      0.19830864
    -19.94399440      0.21440018      0.19895221
    -19.93999400      0.21513095      0.19960967
    -19.93599360      0.21585058      0.20028012
    -19.93199320      0.21655769      0.20096258
    -19.92799280      0.21725089      0.20165600
    -19.92399240      0.21792881      0.20235934
    -19.91999200      0.21859005      0.20307148
    -19.91599160      0.21923322      0.20379129
    -19.91199120      0.21985690      0.20451762
    -19.90799080      0.22045965      0.20524931
    -19.90399040      0.22104001      0.20598519
    -19.89999000      0.22159650      0.20672408
    -19.89598960      0.22212762      0.20746480
    -19.89198920      0.22263183      0.20820620
    -19.88798880      0.22310757      0.20894708
    -19.88398840      0.22355325      0.20968631
    -19.87998800      0.22396725      0.21042271
    -19.87598760      0.22434794      0.21115513
    -19.87198720      0.22469365      0.21188242
    -19.86798680      0.22500273      0.21260344
    -19.86398640      0.22527347      0.21331701
    -19.85998600      0.22550421      0.21402199
    -19.85598560      0.22569326      0.21471718
    -19.85198520      0.22583897      0.21540140
    -19.84798480      0.22593970      0.21607343
    -19.84398440      0.22599386      0.21673201
    -19.83998400      0.22599990      0.21737587
    -19.83598360      0.22595634      0.21800369
    -19.83198320      0.22586177      0.21861410
    -19.82798280      0.22571489      0.21920569
    -19.82398240      0.22551446      0.21977702
    -19.81998200      0.22525941      0.22032656
    -19.81598160      0.22494877      0.22085275
    -19.81198120      0.22458172      0.22135398
    -19.80798080      0.22415761      0.22182858
    -19.80398040      0.22367593      0.22227482
    -19.79998000      0.22313640      0.22269093
    -19.79597960      0.22253888      0.22307512
    -19.79197920      0.22188347      0.22342554
    -19.78797880      0.22117045      0.22374031
    -19.78397840      0.22040034      0.22401756
    -19.77997800      0.21957384      0.22425538
    -19.77597760      0.21869191      0.22445189
    -19.77197720      0.21775570      0.22460521
    -19.76797680      0.21676660      0.22471351
    -19.76397640      0.21572619      0.22477498
    -19.75997600      0.21463628      0.22478789
    -19.75597560      0.21349887      0.22475058
    -19.75197520      0.21231615      0.22466149
    -19.74797480      0.21109051      0.22451917
    -19.74397440      0.20982447      0.22432227
    -19.73997400      0.20852072      0.22406962
    -19.73597360      0.20718210      0.22376018
    -19.73197320      0.20581155      0.22339309
    -19.72797280      0.20441209      0.22296768
    -19.72397240      0.20298685      0.22248346
    -19.71997200      0.20153900      0.22194016
    -19.71597160      0.20007174      0.22133774
    -19.71197120      0.19858829      0.22067635
    -19.70797080      0.19709184      0.21995641
    -19.70397040      0.19558558      0.21917855
    -19.69997000      0.19407261      0.21834364
    -19.69596960      0.19255599      0.21745281
    -19.69196920      0.19103864      0.21650739
    -19.68796880      0.18952342      0.21550896
    -19.68396840      0.18801299      0.21445932
    -19.67996800      0.18650993      0.21336048
    -19.67596760      0.18501659      0.21221466
    -19.67196720      0.18353519      0.21102425
    -19.66796680      0.18206773      0.20979185
    -19.66396640      0.18061602      0.20852017
    -19.65996600      0.17918168      0.20721211
    -19.65596560      0.17776609      0.20587065
    -19.65196520      0.17637044      0.20449889
    -19.64796480      0.17499569      0.20309999
    -19.64396440      0.17364260      0.20167718
    -19.63996400      0.17231172      0.20023371
    -19.63596360      0.17100339      0.19877285
    -19.63196320      0.16971777      0.19729784
    -19.62796280      0.16845482      0.19581188
    -19.62396240      0.16721434      0.19431812
    -19.61996200      0.16599597      0.19281962
    -19.61596160      0.16479921      0.19131935
    -19.61196120      0.16362343      0.18982012
    -19.60796080      0.16246788      0.18832464
    -19.60396040      0.16133174      0.18683544
    -19.59996000      0.16021409      0.18535488
    -19.59595960      0.15911397      0.18388514
    -19.59195920      0.15803039      0.18242820
    -19.58795880      0.15696232      0.18098585
    -19.58395840      0.15590875      0.17955965
    -19.57995800      0.15486867      0.17815095
    -19.57595760      0.15384112      0.17676090
    -19.57195720      0.15282516      0.17539044
    -19.56795680      0.15181994      0.17404028
    -19.56395640      0.15082468      0.17271093
    -19.55995600      0.14983867      0.17140273
    -19.55595560      0.14886131      0.17011579
    -19.55195520      0.14789208      0.16885007
    -19.54795480      0.14693059      0.16760537
    -19.54395440      0.14597655      0.16638133
    -19.53995400      0.14502978      0.16517747
    -19.53595360      0.14409022      0.16399319
    -19.53195320      0.14315789      0.16282777
    -19.52795280      0.14223295      0.16168044
    -19.52395240      0.14131564      0.16055036
    -19.51995200      0.14040628      0.15943664
    -19.51595160      0.13950528      0.15833837
    -19.51195120      0.13861313      0.15725463
    -19.50795080      0.13773036      0.15618450
    -19.50395040      0.13685755      0.15512711
    -19.49994999      0.13599532      0.15408162
    -19.49594959      0.13514429      0.15304724
    -19.49194919      0.13430509      0.15202324
    -19.48794879      0.13347834      0.15100900
    -19.48394839      0.13266463      0.15000395
    -19.47994799      0.13186451      0.14900765
    -19.47594759      0.13107849      0.14801972
    -19.47194719      0.13030697      0.14703992
    -19.46794679      0.12955033      0.14606810
    -19.46394639      0.12880881      0.14510421
    -19.45994599      0.12808259      0.14414832
    -19.45594559      0.12737172      0.14320057
    -19.45194519      0.12667616      0.14226122
    -19.44794479      0.12599574      0.14133059
    -19.44394439      0.12533018      0.14040911
    -19.43994399      0.12467909      0.13949723
    -19.43594359      0.12404197      0.13859549
    -19.43194319      0.12341819      0.13770445
    -19.42794279      0.12280705      0.13682470
    -19.42394239      0.12220772      0.13595686
    -19.41994199      0.12161931      0.13510152
    -19.41594159      0.12104084      0.13425929
    -19.41194119      0.12047127      0.13343072
    -19.40794079      0.11990953      0.13261634
    -19.40394039      0.11935448      0.13181661
    -19.39993999      0.11880499      0.13103193
    -19.39593959      0.11825992      0.13026262
    -19.39193919      0.11771813      0.12950891
    -19.38793879      0.11717852      0.12877094
    -19.38393839      0.11664004      0.12804873
    -19.37993799      0.11610168      0.12734222
    -19.37593759      0.11556251      0.12665120
    -19.37193719      0.11502171      0.12597538
    -19.36793679      0.11447854      0.12531435
    -19.36393639      0.11393235      0.12466756
    -19.35993599      0.11338266      0.12403440
    -19.35593559      0.11282906      0.12341412
    -19.35193519      0.11227131      0.12280589
    -19.34793479      0.11170930      0.12220881
    -19.34393439      0.11114304      0.12162189
    -19.33993399      0.11057267      0.12104408
