# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -20.00000000      0.10554255      0.15409222
    -19.99599960      0.10338956      0.15104978
    -19.99199920      0.10130758      0.14802038
    -19.98799880      0.09929742      0.14500909
    -19.98399840      0.09735969      0.14202081
    -19.97999800      0.09549475      0.13906026
    -19.97599760      0.09370271      0.13613200
    -19.97199720      0.09198350      0.13324037
    -19.96799680      0.09033681      0.13038953
    -19.96399640      0.08876212      0.12758338
    -19.95999600      0.08725872      0.12482565
    -19.95599560      0.08582573      0.12211979
    -19.95199520      0.08446207      0.11946906
    -19.94799480      0.08316648      0.11687644
    -19.94399440      0.08193759      0.11434468
    -19.93999400      0.08077383      0.11187629
    -19.93599360      0.07967353      0.10947351
    -19.93199320      0.07863489      0.10713834
    -19.92799280      0.07765601      0.10487253
    -19.92399240      0.07673486      0.10267757
    -19.91999200      0.07586936      0.10055471
    -19.91599160      0.07505735      0.09850494
    -19.91199120      0.07429659      0.09652902
    -19.90799080      0.07358481      0.09462748
    -19.90399040      0.07291972      0.09280058
    -19.89999000      0.07229897      0.09104840
    -19.89598960      0.07172023      0.08937076
    -19.89198920      0.07118118      0.08776730
    -19.88798880      0.07067948      0.08623742
    -19.88398840      0.07021286      0.08478037
    -19.87998800      0.06977905      0.08339516
    -19.87598760      0.06937586      0.08208067
    -19.87198720      0.06900115      0.08083559
    -19.86798680      0.06865285      0.07965845
    -19.86398640      0.06832899      0.07854765
    -19.85998600      0.06802766      0.07750146
    -19.85598560      0.06774708      0.07651801
    -19.85198520      0.06748558      0.07559534
    -19.84798480      0.06724159      0.07473138
    -19.84398440      0.06701369      0.07392398
    -19.83998400      0.06680058      0.07317093
    -19.83598360      0.06660110      0.07246995
    -19.83198320      0.06641425      0.07181870
    -19.82798280      0.06623918      0.07121484
    -19.82398240      0.06607520      0.07065598
    -19.81998200      0.06592177      0.07013973
    -19.81598160      0.06577854      0.06966372
    -19.81198120      0.06564531      0.06922556
