# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -20.00000000      0.18143809      0.63593113
    -19.99599960      0.07381783      0.98686064
    -19.99199920      0.02559134      1.30497010
    -19.98799880      0.00756004      1.47042979
    -19.98399840      0.00190307      1.41184500
    -19.97999800      0.00040821      1.15512435
    -19.97599760      0.00007461      0.80532180
    -19.97199720      0.00001162      0.47841982
    -19.96799680      0.00000154      0.24218535
    -19.96399640      0.00000017      0.10446855
    -19.95999600      0.00000002      0.03839921
    -19.95599560      0.00000000      0.01202702
    -19.95199520      0.00000000      0.00320991
    -19.94799480      0.00000000      0.00073001
    -19.94399440      0.00000000      0.00014147
    -19.93999400      0.00000000      0.00002336
    -19.93599360      0.00000000      0.00000329
    -19.93199320      0.00000000      0.00000039
    -19.92799280      0.00000000      0.00000004
    -19.92399240      0.00000000      0.00000000
    -19.91999200      0.00000000      0.00000000
    -19.91599160      0.00000000      0.00000000
    -19.91199120      0.00000000      0.00000000
    -19.90799080      0.00000000      0.00000000
    -19.90399040      0.00000000      0.00000000
    -19.89999000      0.00000000      0.00000000
    -19.89598960      0.00000000      0.00000000
    -19.89198920      0.00000001      0.00000000
    -19.88798880      0.00000009      0.00000000
    -19.88398840      0.00000081      0.00000000
    -19.87998800      0.00000605      0.00000000
    -19.87598760      0.00003874      0.00000000
    -19.87198720      0.00021125      0.00000000
    -19.86798680      0.00098150      0.00000000
    -19.86398640      0.00388582      0.00000000
    -19.85998600      0.01310913      0.00000001
    -19.85598560      0.03768456      0.00000012
    -19.85198520      0.09231074      0.00000102
    -19.84798480      0.19268160      0.00000754
    -19.84398440      0.34271123      0.00004739
    -19.83998400      0.51942204      0.00025372
    -19.83598360      0.67086273      0.00115749
    -19.83198320      0.73849204      0.00449975
    -19.82798280      0.69343371      0.01490586
    -19.82398240      0.55740185      0.04207503
    -19.81998200      0.38966971      0.10120241
    -19.81598160      0.25272742      0.20742272
    -19.81198120      0.18521254      0.36226046
    -19.80798080      0.19649454      0.53912002
    -19.80398040      0.27632126      0.68368154
    -19.79998000      0.40868405      0.73883440
    -19.79597960      0.58450071      0.68057571
    -19.79197920      0.80554180      0.53509744
    -19.78797880      1.06872660      0.36170270
    -19.78397840      1.33643563      0.21816792
    -19.77997800      1.52604597      0.13800143
    -19.77597760      1.54746455      0.13126023
    -19.77197720      1.36769499      0.19756103
    -19.76797680      1.04225121      0.33583460
    -19.76397640      0.68085062      0.54554070
    -19.75997600      0.38012937      0.82029968
    -19.75597560      0.18111628      1.13422370
    -19.75197520      0.07358744      1.42733759
    -19.74797480      0.02548636      1.61028157
    -19.74397440      0.00752298      1.60386974
    -19.73997400      0.00189238      1.39295213
    -19.73597360      0.00040565      1.04567408
    -19.73197320      0.00007410      0.67464950
    -19.72797280      0.00001153      0.37278295
    -19.72397240      0.00000153      0.17604167
    -19.71997200      0.00000017      0.07096071
    -19.71597160      0.00000002      0.02439773
    -19.71197120      0.00000000      0.00715201
    -19.70797080      0.00000000      0.00178710
    -19.70397040      0.00000000      0.00038058
    -19.69997000      0.00000001      0.00006907
    -19.69596960      0.00000006      0.00001068
    -19.69196920      0.00000058      0.00000141
    -19.68796880      0.00000473      0.00000016
    -19.68396840      0.00003266      0.00000002
    -19.67996800      0.00019220      0.00000000
    -19.67596760      0.00096371      0.00000000
    -19.67196720      0.00411750      0.00000000
    -19.66796680      0.01499056      0.00000000
    -19.66396640      0.04650515      0.00000003
    -19.65996600      0.12293742      0.00000032
    -19.65596560      0.27692906      0.00000269
    -19.65196520      0.53157015      0.00001945
    -19.64796480      0.86952480      0.00011963
    -19.64396440      1.21229799      0.00062698
    -19.63996400      1.44149410      0.00280001
    -19.63596360      1.46500999      0.01065531
    -19.63196320      1.28228348      0.03455180
    -19.62796280      0.99136131      0.09547169
    -19.62396240      0.72922648      0.22479055
    -19.61996200      0.59323477      0.45100643
    -19.61596160      0.59707536      0.77107230
    -19.61196120      0.67860903      1.12341415
    -19.60796080      0.74480513      1.39512261
    -19.60396040      0.72618980      1.47801546
    -19.59996000      0.61086405      1.34011678
    -19.59595960      0.43942811      1.05265543
    -19.59195920      0.26963196      0.74783615
    -19.58795880      0.14101951      0.54357428
    -19.58395840      0.06285236      0.48988211
    -19.57995800      0.02387113      0.55954529
    -19.57595760      0.00772550      0.67308728
    -19.57195720      0.00213049      0.74151988
    -19.56795680      0.00050065      0.71038280
    -19.56395640      0.00010025      0.58304475
    -19.55995600      0.00001711      0.40833972
    -19.55595560      0.00000249      0.24378071
    -19.55195520      0.00000031      0.12402732
    -19.54795480      0.00000003      0.05377063
    -19.54395440      0.00000000      0.01986437
    -19.53995400      0.00000000      0.00625322
    -19.53595360      0.00000000      0.00167738
    -19.53195320      0.00000000      0.00038341
    -19.52795280      0.00000000      0.00007468
    -19.52395240      0.00000000      0.00001239
    -19.51995200      0.00000000      0.00000175
    -19.51595160      0.00000000      0.00000021
    -19.51195120      0.00000000      0.00000002
    -19.50795080      0.00000000      0.00000000
    -19.50395040      0.00000000      0.00000000
    -19.49994999      0.00000000      0.00000000
    -19.49594959      0.00000000      0.00000000
    -19.49194919      0.00000000      0.00000000
    -19.48794879      0.00000000      0.00000000
    -19.48394839      0.00000000      0.00000000
    -19.47994799      0.00000000      0.00000000
    -19.47594759      0.00000000      0.00000000
    -19.47194719      0.00000000      0.00000000
    -19.46794679      0.00000000      0.00000000
    -19.46394639      0.00000000      0.00000000
    -19.45994599      0.00000000      0.00000000
    -19.45594559      0.00000000      0.00000000
    -19.45194519      0.00000000      0.00000000
    -19.44794479      0.00000000      0.00000000
    -19.44394439      0.00000000      0.00000000
    -19.43994399      0.00000000      0.00000000
    -19.43594359      0.00000000      0.00000000
    -19.43194319      0.00000000      0.00000000
    -19.42794279      0.00000000      0.00000000
    -19.42394239      0.00000000      0.00000000
    -19.41994199      0.00000000      0.00000000
    -19.41594159      0.00000000      0.00000000
    -19.41194119      0.00000000      0.00000000
    -19.40794079      0.00000000      0.00000000
    -19.40394039      0.00000000      0.00000000
    -19.39993999      0.00000000      0.00000000
    -19.39593959      0.00000000      0.00000000
    -19.39193919      0.00000000      0.00000000
    -19.38793879      0.00000000      0.00000000
    -19.38393839      0.00000000      0.00000000
    -19.37993799      0.00000000      0.00000000
    -19.37593759      0.00000000      0.00000000
    -19.37193719      0.00000000      0.00000000
    -19.36793679      0.00000000      0.00000000
    -19.36393639      0.00000000      0.00000000
    -19.35993599      0.00000000      0.00000000
    -19.35593559      0.00000000      0.00000000
    -19.35193519      0.00000000      0.00000000
    -19.34793479      0.00000000      0.00000000
    -19.34393439      0.00000000      0.00000000
    -19.33993399      0.00000000      0.00000000
    -19.33593359      0.00000000      0.00000000
    -19.33193319      0.00000000      0.00000000
    -19.32793279      0.00000000      0.00000000
    -19.32393239      0.00000000      0.00000000
    -19.31993199      0.00000000      0.00000000
    -19.31593159      0.00000000      0.00000000
    -19.31193119      0.00000000      0.00000000
    -19.30793079      0.00000000      0.00000000
    -19.30393039      0.00000000      0.00000000
    -19.29992999      0.00000000      0.00000000
    -19.29592959      0.00000000      0.00000000
    -19.29192919      0.00000000      0.00000000
    -19.28792879      0.00000000      0.00000000
    -19.28392839      0.00000000      0.00000000
    -19.27992799      0.00000000      0.00000000
    -19.27592759      0.00000000      0.00000000
    -19.27192719      0.00000000      0.00000000
    -19.26792679      0.00000000      0.00000000
    -19.26392639      0.00000000      0.00000000
    -19.25992599      0.00000000      0.00000000
    -19.25592559      0.00000000      0.00000000
    -19.25192519      0.00000000      0.00000000
    -19.24792479      0.00000000      0.00000000
    -19.24392439      0.00000000      0.00000000
    -19.23992399      0.00000000      0.00000000
    -19.23592359      0.00000000      0.00000000
    -19.23192319      0.00000000      0.00000000
    -19.22792279      0.00000000      0.00000000
    -19.22392239      0.00000000      0.00000000
    -19.21992199      0.00000000      0.00000000
    -19.21592159      0.00000000      0.00000000
    -19.21192119      0.00000000      0.00000000
    -19.20792079      0.00000000      0.00000000
    -19.20392039      0.00000000      0.00000000
    -19.19991999      0.00000000      0.00000000
    -19.19591959      0.00000000      0.00000000
    -19.19191919      0.00000000      0.00000000
    -19.18791879      0.00000000      0.00000000
    -19.18391839      0.00000000      0.00000000
    -19.17991799      0.00000000      0.00000000
    -19.17591759      0.00000000      0.00000000
    -19.17191719      0.00000000      0.00000000
    -19.16791679      0.00000000      0.00000000
    -19.16391639      0.00000000      0.00000000
    -19.15991599      0.00000000      0.00000000
    -19.15591559      0.00000000      0.00000000
    -19.15191519      0.00000000      0.00000000
    -19.14791479      0.00000000      0.00000000
    -19.14391439      0.00000000      0.00000000
    -19.13991399      0.00000000      0.00000000
    -19.13591359      0.00000000      0.00000000
    -19.13191319      0.00000000      0.00000000
    -19.12791279      0.00000000      0.00000000
    -19.12391239      0.00000000      0.00000000
    -19.11991199      0.00000000      0.00000000
    -19.11591159      0.00000000      0.00000000
    -19.11191119      0.00000000      0.00000000
    -19.10791079      0.00000000      0.00000000
    -19.10391039      0.00000001      0.00000000
    -19.09990999      0.00000009      0.00000000
    -19.09590959      0.00000077      0.00000000
    -19.09190919      0.00000580      0.00000000
    -19.08790879      0.00003727      0.00000000
    -19.08390839      0.00020391      0.00000000
    -19.07990799      0.00095071      0.00000000
    -19.07590759      0.00377712      0.00000000
    -19.07190719      0.01278706      0.00000000
    -19.06790679      0.03688754      0.00000002
    -19.06390639      0.09067506      0.00000022
    -19.05990599      0.18993065      0.00000179
    -19.05590559      0.33900125      0.00001264
    -19.05190519      0.51559247      0.00007604
    -19.04790479      0.66820677      0.00038975
    -19.04390439      0.73792838      0.00170224
    -19.03990399      0.69441099      0.00633519
    -19.03590359      0.55682406      0.02009080
    -19.03190319      0.38046826      0.05429175
    -19.02790279      0.22152253      0.12501710
    -19.02390239      0.10990474      0.24530366
    -19.01990199      0.04646372      0.41014523
    -19.01590159      0.01673827      0.58434637
    -19.01190119      0.00513814      0.70941777
    -19.00790079      0.00134400      0.73389311
    -19.00390039      0.00029957      0.64693789
    -18.99989999      0.00005690      0.48594980
    -18.99589959      0.00000921      0.31104215
    -18.99189919      0.00000127      0.16964698
    -18.98789879      0.00000015      0.07884462
    -18.98389839      0.00000001      0.03122461
    -18.97989799      0.00000000      0.01053710
    -18.97589759      0.00000000      0.00303001
    -18.97189719      0.00000000      0.00074245
    -18.96789679      0.00000000      0.00015502
    -18.96389639      0.00000000      0.00002758
    -18.95989599      0.00000000      0.00000418
    -18.95589559      0.00000000      0.00000054
    -18.95189519      0.00000003      0.00000006
    -18.94789479      0.00000026      0.00000001
    -18.94389439      0.00000225      0.00000000
    -18.93989399      0.00001647      0.00000000
    -18.93589359      0.00010272      0.00000000
    -18.93189319      0.00054592      0.00000000
    -18.92789279      0.00247235      0.00000000
    -18.92389239      0.00954097      0.00000000
    -18.91989199      0.03137430      0.00000002
    -18.91589159      0.08791324      0.00000020
    -18.91189119      0.20991019      0.00000172
    -18.90789079      0.42708249      0.00001288
    -18.90389039      0.74043853      0.00008202
    -18.89988999      1.09386883      0.00044495
    -18.89588959      1.37702073      0.00205670
    -18.89188919      1.47711636      0.00810090
    -18.88788879      1.35016838      0.02718908
    -18.88388839      1.05162319      0.07775969
    -18.87988799      0.69796134      0.18950190
    -18.87588759      0.39473131      0.39352436
    -18.87188719      0.19022640      0.69635176
    -18.86788679      0.07811582      1.04998894
    -18.86388639      0.02733419      1.34908640
    -18.85988599      0.00815028      1.47704526
    -18.85588559      0.00207080      1.37799244
    -18.85188519      0.00044833      1.09546590
    -18.84788479      0.00008271      0.74207856
    -18.84388439      0.00001300      0.42835112
    -18.83988399      0.00000174      0.21069242
    -18.83588359      0.00000020      0.08830737
    -18.83188319      0.00000002      0.03153871
    -18.82788279      0.00000003      0.00959820
    -18.82388239      0.00000027      0.00248906
    -18.81988199      0.00000208      0.00055002
