Current(A),Voltage(V)
-0.000000014,-0.000357
0.000999507,0.982861
0.001997801,0.989948
0.002996665,0.994262
0.00399831,0.999902
0.004997293,1.013423
0.005995932,1.015525
0.006997301,1.017322
0.007995868,1.018879
0.008997906,1.020272
0.009996977,1.021514
-0.000000012,-0.000319
-0.000000012,-0.986571
-0.000000015,-1.996774
-0.000000012,-2.995244
-0.000000012,-3.993467
-0.000000014,-4.991588
-0.000999731,-5.814605
-0.002000819,-5.81593
-0.003002761,-5.818073
-0.004001685,-5.820216
-0.005000037,-5.822355
-0.00600161,-5.824509
-0.007000212,-5.826653
-0.007999136,-5.828795
-0.008997786,-5.830951
-0.009999613,-5.83311
