Time(s),Current (A), Voltage(V),Vsrc(V),Resistance (ohm)
4.6,-0.000000019,-0.000096,-0.00006,0
12.1,0.000099655,0.997772,0.998195,0
20.1,0.00019945,1.996198,1.996457,0
28,0.000299253,2.994399,2.994833,0
34.1,0.00039903,3.992355,3.992957,0
42,0.00049882,4.990444,4.99122,0
49.7,0.000598621,5.988657,5.989607,0
57.6,0.00069845,6.987118,6.988221,0
65.3,0.00079825,7.985328,7.986603,0
73.1,0.000898048,8.98339,8.984828,0
80.7,0.000997849,9.981476,9.983117,0
89.3,-0.000000019,-0.000055,-0.000062,0
97.3,-0.000099945,-0.998316,-0.998637,0
103.5,-0.000199743,-1.996469,-1.996835,0
109.8,-0.000299555,-2.994761,-2.995306,0
117.8,-0.000399345,-3.992815,-3.993526,0
125.4,-0.000499127,-4.990768,-4.991633,0
133.5,-0.000598919,-5.9889,-5.98992,0
141.2,-0.000698746,-6.987562,-6.988745,0
148.9,-0.000798538,-7.985868,-7.987216,0
156.6,-0.000898329,-8.984029,-8.985524,0
164.2,-0.00099811,-9.982189,-9.983788,0
