Time(s),Current (A), Voltage(V),Vsrc(V),Resistance (ohm)
5.5,-0.000000011,-0.000303,-0.000349,0
13.2,-0.000000011,0.998098,0.998254,0
19.5,-0.000000012,1.996723,1.996609,0
25.5,-0.000000011,2.995209,2.995126,0
33.2,-0.000000009,3.993471,3.9934,0
40.9,0,4.991817,4.991758,0
48.9,0.000001115,5.990258,5.990207,0
57.8,0.000999568,6.120108,6.118897,0
64.5,0.001997968,6.109223,6.111288,0
70.9,0.002996856,6.110067,6.113962,0
77.5,0.003998548,6.114159,6.119551,0
84,0.004997544,6.119514,6.126309,0
90.6,0.005996218,6.125506,6.133639,0
97.1,0.006997623,6.131751,6.141253,0
103.5,0.00799625,6.138301,6.149107,0
110.2,0.00899836,6.145061,6.15722,0
116.9,0.009997467,6.151874,6.165312,0
124.7,-0.000000012,-0.000233,-0.000351,0
132.2,-0.000999782,-0.769448,-0.7713,0
139.1,-0.002000879,-0.790351,-0.793305,0
145.6,-0.003002869,-0.802169,-0.806376,0
152.1,-0.004001888,-0.810294,-0.815782,0
158.7,-0.005000324,-0.816438,-0.823226,0
165.4,-0.006001932,-0.821366,-0.829459,0
171.9,-0.007000558,-0.82544,-0.834845,0
178.4,-0.007999565,-0.828912,-0.839633,0
185,-0.008998227,-0.831932,-0.843966,0
191.4,-0.010000126,-0.834606,-0.84796,0
